Typologie,Régime de vitesse,Voie,Arrondissement,Bois,Longueur du tronçon en m,latitude,longitude
Couloirs de bus ouverts aux vélos,VOIE 50,RUE DE ROME,8.0,Non,16.76997319,48.877224262234975,2.3231242902921303
Bandes cyclables,VOIE 50,BOULEVARD MALESHERBES,8.0,Non,46.45458443,48.880339041119754,2.3130392592551408
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE CRILLON,4.0,Non,19.84965062,48.84951601775196,2.3656097187821405
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE L ARSENAL,4.0,Non,82.33016791,48.8500025070616,2.3654735625328445
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE L ARSENAL,4.0,Non,123.39593268,48.85119571930953,2.3665528777740326
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE DE LA GAITE,14.0,Non,301.72991645,48.839844312812964,2.3236736419179884
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE VANDAMME,14.0,Non,82.99745235,48.839572466296204,2.3229045549546834
Pistes cyclables,VOIE 50,QUAI DE LA RAPEE,12.0,Non,17.18529913,48.845847390647215,2.367138022240704
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE SAINT-JOSEPH,2.0,Non,162.30765431,48.868520472537,2.344478520663841
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE DE RENCONTRE,RUE DE LA VILLE NEUVE,2.0,Non,83.12257146,48.86961043619206,2.348554291063364
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE DE DONREMY,13.0,Non,34.69990501,48.82849500548265,2.3697362793151373
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE JEAN COLLY,13.0,Non,103.67936891,48.82786449199539,2.3701939986657004
Pistes cyclables,VOIE 50,BOULEVARD DE LA BASTILLE,12.0,Non,45.49929293,48.84991333647383,2.3683909119951183
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,PASSAGE SALARNIER,11.0,Non,98.17910261,48.85695931543314,2.3737570343693566
Pistes cyclables,VOIE 50,BOULEVARD DE LA BASTILLE,12.0,Non,9.4546115,48.846588138121525,2.3668896684316394
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE SAINT ROMAIN,6.0,Non,157.24657916,48.84754494177251,2.320856978647927
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,AVENUE DE L OBSERVATOIRE,6.0,Non,141.47010067,48.841824401822734,2.3363390487941946
Pistes cyclables,VOIE 50,BOULEVARD PONIATOWSKI,12.0,Non,441.50358832,48.830714102528795,2.395242080725764
Pistes cyclables,VOIE 50,RUE DE LA PEPINIERE,8.0,Non,16.49219917,48.87517533566174,2.322880229045724
Couloirs de bus ouverts aux vélos,VOIE 50,AVENUE DAUMESNIL,12.0,Non,21.65263844,48.84665121907807,2.376775637608134
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,AVENUE BOUTROUX,13.0,Non,77.1112224,48.822173111629944,2.375325122774381
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables),ZONE 30,RUE PIERRE ET MARIE CURIE,5.0,Non,197.97606179,48.84460502562198,2.343803344681992
